Accession.no.;tbHomologue;geneName;X;dragsetCall;IreneCall;geckoCall;bagelCall;griffinCall;sassettiCall;deJesusCall;bestGuideRatio;bestGuide;gbAnnotation;X.1;X.2;X.3;Position;X.5;Name;Function;Product;TU (Nanopore RNA-Seq);Position
MSMEG_1524;Rv3457c;rpoA;02 G1;ES;GD;ES;ES;ES;ES;ES;-7.66474582;MSMEG_1524_1;DNA-directed RNA polymerase subunit alpha; Provisional; Region: PRK05182;;Middle Gene;;rpoA;DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. The amino-terminal portion is involved in the assembly of core RNAP, whereas the C-terminal is involved in interaction with transcriptional regulators [catalytic activity: N nucleoside triphosphate = N pyrophosphate + RNA(N)].;Probable DNA-directed RNA polymerase (alpha chain) RpoA (transcriptase alpha chain) (RNA polymerase alpha subunit) (DNA-directed RNA nucleotidyltransferase);1519-1520-1521-1522-1523-1524-1525;Middle Gene
MSMEG_1556;Rv3443c;rplM;02 B6;ES;ES;NE;ES;ES;ES;ES;-7.181698911;MSMEG_1556_1;50S ribosomal protein L13; Reviewed; Region: rplM; PRK09216;First Gene;;rplM;Involved in translation mechanism. This protein is one of the early assembly proteins of the 50S ribosomal subunit.;50S ribosomal protein L13 RplM;1556-1557;First Gene
MSMEG_1557;Rv3442c;rpsI;02 H9;ES;ES;NE;ES;ES;NA;ES;-6.690137693;MSMEG_1557_3;30S ribosomal protein S9; Reviewed; Region: rpsI; PRK00132;Last Gene;;rpsI;Involved in translation mechanism. This protein is one of the assembly proteins of the 50S ribosomal subunit.;30S ribosomal protein S9 RpsI;1556-1557;Last Gene
MSMEG_1568;Rv3436c;glmS;02 C6;ES;ES;ES;ES;ES;ES;ES;-7.170525999;MSMEG_1568_4;glucosamine--fructose-6-phosphate aminotransferase; Reviewed; Region: PRK00331;;First Gene;;glmS;Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source [catalytic activity: L-glutamine + D-fructose 6-phosphate = L-glutamate + D-glucosamine 6-phosphate].;Probable glucosamine--fructose-6-phosphate aminotransferase [isomerizing] GlmS (hexosephosphate aminotransferase) (D-fructose-6-phosphate amidotransferase) (GFAT) (L-glutamine-D-fructose-6-phosphate amidotransferase) (glucosamine-6-phosphate synthase);1568-1570;First Gene
MSMEG_1582;Rv3418c;groES;01 E3;GD;ES;ES;ES;NE;ES;ES;-8.829310478;MSMEG_1582_2;co-chaperonin GroES; Reviewed; Region: groES; PRK00364;Only Gene;;groES;Binds to CPN60 in the presence of mg-ATP and suppresses the ATPase activity of the latter.;10 kDa chaperonin GroES (protein CPN10) (protein GroES) (BCG-a heat shock protein) (10 kDa antigen);1582;Only Gene
MSMEG_1602;Rv3411c;guaB;01 C6;ES;ES;ES;ES;ES;ES;ES;-8.445511528;MSMEG_1602_5;inosine 5'-monophosphate dehydrogenase; Reviewed; Region: PRK05567;;First Gene;;guaB2;Catalyses the first reaction unique to GMP biosynthesis [catalytic activity: inosine 5'-phosphate + NAD(+) + H(2)O = xanthosine 5'-phosphate + NADH].;Probable inosine-5'-monophosphate dehydrogenase GuaB2 (imp dehydrogenase) (inosinic acid dehydrogenase) (inosinate dehydrogenase) (imp oxidoreductase) (inosine-5'-monophosphate oxidoreductase) (IMPDH) (IMPD);1602-1603-1604-1605;First Gene
MSMEG_1610;Rv3396c;guaA;01 C3;ES;NE;ES;ES;ES;ES;ES;-8.897905945;MSMEG_1610_2;GMP synthase; Reviewed; Region: guaA; PRK00074;First Gene;;guaA;Involved in GMP biosynthesis [catalytic activity: ATP + xanthosine 5'-phosphate + L-glutamine + H(2)O = AMP + pyrophosphate + GMP + L-glutamate].;Probable GMP synthase [glutamine-hydrolyzing] GuaA (glutamine amidotransferase) (GMP synthetase);1610-1611;First Gene
MSMEG_1657;Rv3336c;trpS;03 A8;ES;ES;ES;ES;ES;ES;ES;-4.453303451;MSMEG_1657_4;tryptophanyl-tRNA synthetase; Reviewed; Region: PRK00927;;First Gene;;trpS;Involved in translation mechanism [catalytic activity: ATP + L-tryptophan + tRNA(TRP) = AMP + pyrophosphate + L-tryptophanyl-tRNA(TRP)].;Probable tryptophanyl-tRNA synthetase TrpS (tryptophan--tRNA ligase) (TRPRS) (tryptophan translase);1657-1658;First Gene
MSMEG_1670;Rv3318;sdhA;01 G5;ES;ES;ES;ES;NE;NE;NE;-8.477717798;MSMEG_1670_2;succinate dehydrogenase flavoprotein subunit; Reviewed; Region: sdhA; PRK08205;Middle Gene;;sdhA;Involved in tricarboxylic acid cycle. Membrane-bound FAD-containing enzyme which is responsible for succinate interconversion [catalytic activity: succinate + acceptor = fumarate + reduced acceptor].;Probable succinate dehydrogenase (flavoprotein subunit) SdhA (succinic dehydrogenase) (fumarate reductase) (fumarate dehydrogenase) (fumaric hydrogenase);1672-1671-1670-1669;Middle Gene
MSMEG_1671;Rv3317;-;01 F5;ES;ES;ES;ES;NE;NE;NE;-8.506129031;MSMEG_1671_4;Succinate:quinone oxidoreductase (SQR) Type A subfamily, Succinate dehydrogenase D (SdhD)-like subunit; SQR catalyzes the oxidation of succinate to fumarate coupled to the reduction of quinone to quinol. Members of this subfamily reduce low potential...; Region: SQR_TypeA_SdhD_like; cd03500;Middle Gene;;sdhD;Involved in tricarboxylic acid cycle. Putative hydrophobic component of the succinate dehydrogenase complex. Could be required to anchor the catalytic components to the cytoplasmic membrane;Probable succinate dehydrogenase (hydrophobic membrane anchor subunit) SdhD (succinic dehydrogenase) (fumarate reductase) (fumarate dehydrogenase) (fumaric hydrogenase);1672-1671-1670-1669;Middle Gene
MSMEG_1672;Rv3316;sdhC;01 H9;ES;ES;ES;ES;NE;NE;NE;-8.068299405;MSMEG_1672_5;Succinate:quinone oxidoreductase (SQR) Type A subfamily, Succinate dehydrogenase C (SdhC)-like subunit; SQR catalyzes the oxidation of succinate to fumarate coupled to the reduction of quinone to quinol. Members of this subfamily reduce low potential...; Region: SQR_TypeA_SdhC_like; cd03501;First Gene;;sdhC;Involved in tricarboxylic acid cycle. Mono-heme cytochrome of the succinate dehydrogenase complex.;Probable succinate dehydrogenase (cytochrome B-556 subunit) SdhC (succinic dehydrogenase) (fumarate reductase) (fumarate dehydrogenase) (fumaric hydrogenase);1672-1671-1670-1669;First Gene
MSMEG_1807;Rv3285;-;01 B6;ES;ES;ES;ES;ES;ES;ES;-8.448488033;MSMEG_1807_1;Acetyl/propionyl-CoA carboxylase, alpha subunit [Lipid transport and metabolism]; Region: PccA; COG4770;;Only Gene;;accA3;Involved in long-chain fatty acid synthesis (at the first step). Carries two functions: biotin carboxyl carrier protein and biotin carboxyltransferase [catalytic activity: ATP + biotin-carboxyl-carrier protein + CO(2) = ADP + orthophosphate + carboxybiotin-carboxyl-carrier protein].;Probable bifunctional protein acetyl-/propionyl-coenzyme A carboxylase (alpha chain) AccA3: biotin carboxylase + biotin carboxyl carrier protein (BCCP);1807;Only Gene
MSMEG_1812;Rv3281;-;01 D5;ES;NE;NE;ES;NE;ES;ES;-8.511831703;MSMEG_1812_1;Acyl-CoA carboxylase epsilon subunit; Region: ACC_epsilon; pfam13822;;First Gene;;accE5;Involved in long-chain fatty acid synthesis;Probable bifunctional protein acetyl-/propionyl-coenzyme A carboxylase (epsilon chain) AccE5;1812-1811;First Gene
MSMEG_1813;Rv3280;-;01 H2;ES;ES;ES;ES;ES;NA;ES;-8.999098034;MSMEG_1813_3;Acetyl-CoA carboxylase, carboxyltransferase component [Lipid transport and metabolism]; Region: MmdA; COG4799;;Only Gene;;accD5;Key enzyme in the catabolic pathway of odd-chain fatty acids, isoleucine, threonine, methionine, and valine [catalytic activity: ATP + propionyl-CoA + CO(2) + H(2)O = ADP + orthophosphate + methylmalonyl-CoA.];Probable propionyl-CoA carboxylase beta chain 5 AccD5 (pccase) (propanoyl-CoA:carbon dioxide ligase);1813;Only Gene
MSMEG_1819;Rv3276c;purK;02 F12;ES;ES;ES;ES;ES;NA;GD;-6.180888145;MSMEG_1819_2;Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) [Nucleotide transport and metabolism]; Region: PurK; COG0026;;Only Gene;;purK;Involved in purine biosynthesis (sixth step). Possesses an ATPase activity that is dependent on the presence of air (aminoimidazole ribonucleotide). The association of PURK and pure produces an enzyme complex capable of converting air to CAIR efficiently under physiological condition [catalytic activity: 1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate = 1-(5-phosphoribosyl)-5-aminoimidazole + CO(2)].;Probable phosphoribosylaminoimidazole carboxylase ATPase subunit PurK (air carboxylase) (AIRC);1819;Only Gene
MSMEG_1826;Rv3265c;-;02 E7;ES;GD;ES;ES;ES;ES;ES;-7.025172228;MSMEG_1826_1;Glycosyltransferase, GT2 family [Carbohydrate transport and metabolism]; Region: GT2; COG1216;;Only Gene;;wbbL1;Probably involved in cell wall arabinogalactan linker formation: Uses dTDP-L-rhamnose as substrate to insert the rhamnosyl residue into the cell wall. Seems to be essential for mycobacterial viability.;dTDP-RHA:a-D-GlcNAc-diphosphoryl polyprenol, a-3-L-rhamnosyl transferase WbbL1 (alpha-L-rhamnose-(1->3)-alpha-D-GlcNAc(1->P)-P-decaprenyl);1826;Only Gene
MSMEG_1834;Rv3257c;manB;02 A3;ES;ES;ES;ES;ES;ES;ES;-7.483976963;MSMEG_1834_2;phosphomannomutase/phosphoglucomutase; Reviewed; Region: manB; PRK09542;First Gene;;pmmA;This enzyme converses D-mannose 1-phosphate in D-mannose 6-phosphate [catalytic activity: D-mannose 1-phosphate = D-mannose 6-phosphate].;Probable phosphomannomutase PmmA (PMM) (phosphomannose mutase);1834-1835-1836;First Gene
MSMEG_1836;Rv3255c;manA;03 A9;GD;ES;ES;ES;ES;ES;ES;-4.084693213;MSMEG_1836_4;Mannose-6-phosphate isomerase, class I [Carbohydrate transport and metabolism]; Region: ManA; COG1482;;Last Gene;;manA;This enzyme converts D-mannose 6-phosphate to D-fructose 6-phosphate [catalytic activity: D-mannose 6-phosphate = D-fructose 6-phosphate].;Probable mannose-6-phosphate isomerase ManA (phosphomannose isomerase) (phosphomannoisomerase) (PMI) (phosphohexoisomerase) (phosphohexomutase);1834-1835-1836;Last Gene
MSMEG_1881;Rv3240c;secA;01 D6;ES;ES;ES;ES;ES;ES;ESD;-8.441325776;MSMEG_1881_5;preprotein translocase subunit SecA; Reviewed; Region: PRK12904;;Only Gene;;secA1;Involved in protein export. Interacts with the SECY/SECE subunits. SECA has a central role in coupling the hydrolysis of ATP to the transfer of PRE-secretory periplasmic and outer membrane proteins across the membrane.;Probable preprotein translocase SecA1 1 subunit;1881;Only Gene
MSMEG_1890;Rv3227;aroA;01 C5;GD;NE;ES;ES;ES;NA;ES;-8.516172776;MSMEG_1890_2;3-phosphoshikimate 1-carboxyvinyltransferase; Provisional; Region: PRK02427;;First Gene;;aroA;Involved in the biosynthesis of chorismate within the biosynthesis of aromatic amino acids (the shikimate pathway). Acts in the sixth step of this pathway. [catalytic activity: phosphoenolpyruvate + 3-phosphoshikimate = orthophosphate + O(5)-(1-carboxyvinyl)-3-phosphoshikimate].;3-phosphoshikimate 1-carboxyvinyltransferase AroA (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS);1890-1889-1888;First Gene
MSMEG_2086;Rv3105c;prfB;02 D9;GD;ES;NE;ES;ES;ES;ES;-6.768316676;MSMEG_2086_1;peptide chain release factor 2; Validated; Region: prfB; PRK00578;Only Gene;;prfB;Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA.;Probable peptide chain release factor 2 PrfB (RF-2);2086-2087-2088;Only Gene
MSMEG_2365;Rv3011c;gatA;02 A6;ES;ES;ES;ES;ES;ES;ES;-7.193081765;MSMEG_2365_2;aspartyl/glutamyl-tRNA amidotransferase subunit A; Reviewed; Region: gatA; PRK00012;First Gene;;gatA;Component of the translational apparatus. Furnishes a means for formation of correctly charged GLN-tRNA(GLN) through the transamidation of misacylated GLU-tRNA(GLN) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-GLU-tRNA(GLN) [catalytic activity: ATP + L-glutamyl-tRNA(GLN) + L-glutamine = ADP + phosphate + L-glutaminyl-tRNA(GLN) + L-glutamate].;Probable glutamyl-tRNA(GLN) amidotransferase (subunit A) GatA (Glu-ADT subunit A);2365-2366;First Gene
MSMEG_2367;Rv3009c;gatB;02 B3;ES;ES;ES;ES;ES;ES;ES;-7.476462699;MSMEG_2367_3;aspartyl/glutamyl-tRNA amidotransferase subunit B; Validated; Region: gatB; PRK05477;Only Gene;;gatB;Component of the translational apparatus. Furnishes a means for formation of correctly charged GLN-tRNA(GLN) through the transamidation of misacylated GLU- tRNA(GLN) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-GLU-tRNA(GLN) [catalytic activity: ATP + L-glutamyl-tRNA(GLN) + L-glutamine = ADP + phosphate + L-glutaminyl-tRNA(GLN) + L-glutamate].;Probable glutamyl-tRNA(GLN) amidotransferase (subunit B) GatB (Glu-ADT subunit B);2367-;Only Gene
MSMEG_2372;Rv3003c;ilvB;03 H1;ES;ES;ES;ES;ES;ES;ES;-5.915561275;MSMEG_2372_5;acetolactate synthase 1 catalytic subunit; Validated; Region: PRK07789;;First Gene;;ilvB1;Involved in valine and isoleucine biosynthesis (at the first step) [catalytic activity: 2-acetolactate + CO(2) = 2 pyruvate].;Acetolactate synthase (large subunit) IlvB1 (acetohydroxy-acid synthase);2372-2373;First Gene
MSMEG_2373;Rv3002c;ilvH;03 E9;ES;ES;NE;ES;NE;ES;NE;-3.967989021;MSMEG_2373_2;acetolactate synthase 3 regulatory subunit; Reviewed; Region: ilvH; PRK11895;Last Gene;;ilvN;Involved in valine and isoleucine biosynthesis (at the first step) [catalytic activity: 2-acetolactate + CO(2) = 2-pyruvate].;Probable acetolactate synthase (small subunit) IlvN (acetohydroxy-acid synthase) (AHAS) (ALS);2372-2373;Last Gene
MSMEG_2374;Rv3001c;ilvC;01 E4;ES;ES;ES;ES;ES;ES;ES;-8.584774638;MSMEG_2374_1;ketol-acid reductoisomerase; Provisional; Region: PRK05479;;Only Gene;;ilvC;Involved in valine and isoleucine biosynthesis (at the second step) [catalytic activity: (R)-2,3-dihydroxy-3-methylbutanoate + NADP(+) = (S)-2-hydroxy-2-methyl-3-oxobutanoate + NADPH].;Probable KETOL-acid reductoisomerase IlvC (acetohydroxy-acid isomeroreductase) (alpha-keto-beta-hydroxylacil reductoisomerase);2374-;Only Gene
MSMEG_2378;Rv2996c;serA;01 E8;NE;GD;ES;ES;ES;ES;ES;-8.19451064;MSMEG_2378_3;D-3-phosphoglycerate dehydrogenase; Provisional; Region: PRK13581;;First Gene;;serA1;Involved at the first committed step in the 'phosphorylated' pathway of L-serine biosynthesis [catalytic activity: 3-phosphoglycerate + NAD(+) = 3-phosphohydroxypyruvate + NADH].;Probable D-3-phosphoglycerate dehydrogenase SerA1 (PGDH);2378;First Gene
MSMEG_2379;Rv2995c;leuB;01 A10;ES;GD;NE;ES;ES;ES;ES;-8.04537744;MSMEG_2379_3;3-isopropylmalate dehydrogenase; Provisional; Region: PRK03437;;Last Gene;;leuB;Involved in leucine biosynthesis (at the third step) [catalytic activity: 3-carboxy-2-hydroxy-4-methylpentanoate + NAD(+) = 3-carboxy-4-methyl-2-oxopentanoate + NADH (the product decarboxylates to 4-methyl-2-oxopentanoate)].;Probable 3-isopropylmalate dehydrogenase LeuB (beta-IPM dehydrogenase) (IMDH) (3-IPM-DH);2379;Last Gene
MSMEG_2383;Rv2992c;gltX;01 A2;ES;ES;ES;ES;ES;ES;ES;-9.103654993;MSMEG_2383_4;glutamyl-tRNA synthetase; Reviewed; Region: gltX; PRK01406;Last Gene;;gltS;Involved in translation mechanisms [catalytic activity: ATP + L-glutamate + tRNA(GLU) = AMP + diphosphate + L-glutamyl-tRNA(GLU)].;Glutamyl-tRNA synthetase GltS (glutamate--tRNA ligase) (glutamyl-tRNA synthase) (GLURS);2382-2383;Last Gene
MSMEG_2388;Rv2987c;leuD;03 F3;GD;NE;ES;ES;ES;ES;GD;-5.597811018;MSMEG_2388_1;isopropylmalate isomerase small subunit; Provisional; Region: leuD; PRK01641;Last Gene;;leuD;Involved in leucine biosynthesis (at the second step) [catalytic activity: 3-isopropylmalate = 2-isopropylmaleate + H(2)O (also catalyses 2-isopropylmaleate + H(2)O = 3-hydroxy-4-methyl-3-carboxypentanone)].;Probable 3-isopropylmalate dehydratase (small subunit) LeuD (isopropylmalate isomerase) (alpha-IPM isomerase) (IPMI);2387-2388;Last Gene
MSMEG_2395;Rv2981c;ddl;04 B1;ES;GD;ES;ES;ES;ES;ES;-2.649628408;MSMEG_2388_1;D-alanyl-alanine synthetase A; Reviewed; Region: ddl; PRK01966;Last Gene;;ddlA;Involved in cell wall formation. Along with alanine racemase, it MAKES up the D-alanine branch of the peptidoglycan biosynthetic route. [catalytic activity: ATP + D-alanine + D-alanine = ADP + phosphate + D-alanyl-D-alanine].;Probable D-alanine--D-alanine ligase DdlA (D-alanylalanine synthetase) (D-ala-D-ala ligase);2393-2394-2395;Last Gene
MSMEG_2410;Rv2969c;-;01 E10;ES;ES;ES;ES;ES;ES;ES;-7.954836074;MSMEG_2410_1;Protein-disulfide isomerase [Posttranslational modification, protein turnover, chaperones]; Region: DsbG; COG1651;;First Gene;;Rv2969c;Unknown;Possible conserved membrane or secreted protein;2410-2411;First Gene
MSMEG_2411;Rv2968c;-;03 C3;ES;ES;ES;ES;ES;ES;ES;-5.638354372;MSMEG_2411_1;Vitamin K epoxide reductase family in bacteria; Region: VKOR_5; cd12922;;Last Gene;;Rv2968c;Unknown;Probable conserved integral membrane protein;2410-2411;Last Gene
MSMEG_2435;Rv2909c;rpsP;02 G4;GD;NE;ES;ES;NE;NE;GD;-7.322559136;MSMEG_2435_1;30S ribosomal protein S16; Provisional; Region: rpsP; PRK14520;First Gene;;rpsP;Involved in translation mechanism.;30S ribosomal protein S16 RpsP;2435-2436-2437-2438;First Gene
MSMEG_2438;Rv2906c;trmD;03 A10;GD;NE;ES;ES;ES;ES;GD;-3.931706808;MSMEG_2438_2;tRNA (guanine-N(1)-)-methyltransferase; Reviewed; Region: trmD; PRK00026;Last Gene;;trmD;Specifically methylates guanosime-37 in various TRNAS [catalytic activity S-adenosyl-L-methionine + tRNA = S-adenosyl-L-homocysteine + tRNA containing N1-methylguanine].;Probable tRNA (guanine-N1)-methyltransferase TrmD (M1G-methyltransferase) (tRNA [GM37] methyltransferase);2435-2436-2437-2438;Last Gene
MSMEG_2440;Rv2904c;rplS;02 D7;GD;NE;ES;ES;NE;ES;NE;-7.084702108;MSMEG_2440_2;50S ribosomal protein L19; Provisional; Region: rplS; PRK05338;First Gene;;rplS;This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site.;50S ribosomal protein L19 RplS;2440-2441-2442;First Gene
MSMEG_2441;Rv2903c;lepB;03 F5;GD;ES;ES;ES;ES;ES;ES;-5.196789836;MSMEG_2441_5;signal peptidase I, bacterial type; Region: sigpep_I_bact; TIGR02227;;Middle Gene;;lepB;Cleavage of N-terminal leader sequences from secreted protein precursors.;Probable signal peptidase I LepB (SPASE I) (leader peptidase I).;2440-2441-2442;Middle Gene
MSMEG_2519;Rv2890c;rpsB;02 F2;ES;ES;ES;ES;ES;ES;ES;-7.534730861;MSMEG_2519_5;30S ribosomal protein S2; Provisional; Region: rpsB; PRK05299;First Gene;;rpsB;Involved in translation mechanism.;30S ribosomal protein S2 RpsB;2519-2520;First Gene
MSMEG_2540;Rv2883c;pyrH;03 A7;ES;ES;ES;ES;ES;ES;ES;-4.740243942;MSMEG_2540_2;UMP kinase (UMPK)-Ec, the microbial/chloroplast uridine monophosphate kinase (uridylate kinase) enzyme that catalyzes UMP phosphorylation and plays a key role in pyrimidine nucleotide biosynthesis; regulation of this process is via feed-back control and...; Region: AAK_UMPK-PyrH-Ec; cd04254;First Gene;;pyrH;Uridine monophosphate kinase [catalytic activity: ATP + UMP = ADP + UDP].;Probable uridylate kinase PyrH (UK) (uridine monophosphate kinase) (UMP kinase);2540-2541;First Gene
MSMEG_2541;Rv2882c;frr;04 C1;ES;ES;NE;ES;ES;ES;ES;-2.538208296;MSMEG_2541_3;ribosome recycling factor; Reviewed; Region: frr; PRK00083;Last Gene;;frr;Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another.;Ribosome recycling factor Frr (ribosome releasing factor) (RRF);2540-2541;Last Gene
MSMEG_2543;Rv2881c;cdsA;02 F3;ES;NE;ES;ES;ES;ES;ES;-7.416164165;MSMEG_2543_3;Cytidylyltransferase family; Region: CTP_transf_1; pfam01148;;Only Gene;;cdsA;Involved in the phospholipid biosynthesis [catalytic activity: CTP + phosphatidate = pyrophosphate + CDP-diacylglycerol].;Probable integral membrane phosphatidate cytidylyltransferase CdsA (CDP-diglyceride synthetase) (CDP-diglyceride pyrophosphorylase) (CDP-diacylglycerol synthase) (CDS) (CTP:phosphatidate cytidylyltransferase) (CDP-DAG synthase) (CDP-DG synthetase);2543;Only Gene
MSMEG_2578;Rv2870c;dxr;03 C8;ES;ES;ES;ES;ES;NE;ES;-4.319009979;MSMEG_2578_2;1-deoxy-D-xylulose 5-phosphate reductoisomerase; Provisional; Region: PRK05447;;Only Gene;;dxr;Involved in the deoxyxylulose-5-phosphate pathway (DXP) of isoprenoid biosynthesis (at the second step). Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D- erythritol 4-phosphate (MEP).;Probable 1-deoxy-D-xylulose 5-phosphate reductoisomerase Dxr (DXP reductoisomerase) (1-deoxyxylulose-5-phosphate reductoisomerase);2578;Only Gene
MSMEG_2613;Rv2852c;mqo;03 E2;ES;ES;ES;ES;NE;NE;NE;-5.794554589;MSMEG_2613_3;malate:quinone-oxidoreductase; Region: mal_quin_oxido; TIGR01320;;Only Gene;;mqo;Involved in tricarboxylic acid cycle [catalytic activity: (S)-malate + acceptor = oxaloacetate + reduced acceptor].;Probable malate:quinone oxidoreductase Mqo (malate dehydrogenase [acceptor]);2613;Only Gene
MSMEG_2618;Rv2847c;cobA;03 C7;GD;NE;ES;ES;ES;NA;GD;-4.599311844;MSMEG_2618_3;Uroporphyrin-III C-methyltransferase (S-Adenosyl-L-methionine:uroporphyrinogen III methyltransferase, SUMT); Region: SUMT; cd11642;;First Gene;;cysG;Involved in the biosynthesis of siroheme and cobalamin [catalytic activity: 2 S-adenosyl-L-methionine + uroporphyrin III = 2 S-adenosyl-L-homocysteine + sirohydrochlorin]. SAM-dependent methyl transferase that methylates uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 and then position C-12 or C-18 to form trimethylpyrrocorphin 2. It catalyzes also the conversion of precorrin-2 into siroheme (consisting of an oxidation and FE(2+) chelation).;Possible multifunctional enzyme siroheme synthase CysG: uroporphyrin-III C-methyltransferase (urogen III methylase) (SUMT) (uroporphyrinogen III methylase) (UROM) + precorrin-2 oxidase + ferrochelatase;2618-2619-2620;First Gene
MSMEG_2621;Rv2845c;proS;02 B7;ES;ES;ES;ES;ES;ES;ES;-7.120082322;MSMEG_2621_5;prolyl-tRNA synthetase; Provisional; Region: PRK09194;;Only Gene;;proS;Involved in translation mechanism [catalytic activity: ATP + L-proline + tRNA(pro) = AMP + pyrophosphate + L-prolyl-tRNA(pro)].;Probable prolyl-tRNA synthetase ProS (proline--tRNA ligase) (PRORS) (global RNA synthesis factor) (proline translase);2621;Only Gene
MSMEG_2625;Rv2841c;nusA;02 A10;NE;ES;ES;ES;ES;ES;ES;-6.61592373;MSMEG_2625_1;transcription elongation factor NusA; Provisional; Region: nusA; PRK12327;Last Gene;;nusA;Could participates in both the termination and antitermination of transcription.;Probable N utilization substance protein A NusA;2624-2625;Last Gene
MSMEG_2628;Rv2839c;infB;03 D9;ES;ES;ES;ES;ES;ES;ES;-3.973793468;MSMEG_2628_3;translation initiation factor IF-2; Validated; Region: infB; PRK05306;Only Gene;;infB;If-2, one of the essential components for the initiation of protein synthesis in vitro, protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. It is also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex.;Probable translation initiation factor if-2 InfB;2628;Only Gene
MSMEG_2653;Rv2786c;ribF;02 D4;ES;NE;ES;ES;ES;ES;ES;-7.376426116;MSMEG_2653_1;bifunctional riboflavin kinase/FMN adenylyltransferase; Reviewed; Region: PRK05627;;Only Gene;;ribF;Involved in FAD biosynthesis [catalytic activity 1: ATP + riboflavin = ADP + FMN] [catalytic activity 2: ATP + FMN = diphosphate + FAD].;Probable bifunctional FAD synthetase/riboflavin biosynthesis protein RibF: riboflavin kinase (flavokinase) + FMN adenylyltransferase (FAD pyrophosphorylase) (FAD synthetase)(FAD diphosphorylase) (flavin adenine dinucleotide synthetase);2653;Only Gene
MSMEG_2656;Rv2783c;gpsI;02 F4;ES;ES;ES;ES;ES;NA;ES;-7.366754705;MSMEG_2656_2;Polyribonucleotide nucleotidyltransferase, RNA binding domain; Region: PNPase; cl28027;;First Gene;;gpsI;Involved in mRNA degradation. Hydrolyses single-stranded polyribonucleotides processively in the 3' to 5' direction. Involved in the RNA degradosome, a multi-enzyme complex important in RNA processing and messenger RNA degradation [catalytic activity: RNA(N+1) + phosphate = RNA(N) + a nucleoside diphosphate].;Bifunctional protein polyribonucleotide nucleotidyltransferase GpsI: guanosine pentaphosphate synthetase + polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase) (pnpase);2656-2657;First Gene
MSMEG_2670;Rv2764c;thyA;01 A3;GD;ES;ES;ES;ES;NA;GD;-8.943774847;MSMEG_2670_1;thymidylate synthase; Reviewed; Region: thyA; PRK01827;First Gene;;thyA;Involved in deoxyribonucleotide biosynthesis. Provides the sole de novo source of dTMP for DANA biosynthesis [catalytic activity: 5,10-methylenetetrahydrofolate + dUMP = dihydrofolate + dTMP].;Probable thymidylate synthase ThyA (ts) (TSASE);2670-2671-2672;First Gene
MSMEG_2684;Rv2753c;dapA;03 F12;GD;ES;NE;ES;ES;ES;ES;-2.82358555;MSMEG_2684_1;dihydrodipicolinate synthase; Provisional; Region: PRK03170;;First Gene;;dapA;Involved in biosynthesis of diaminopimelate and lysine from aspartate semialdehyde (at the first step) [catalytic activity: L-aspartate 4-semialdehyde + pyruvate = dihydrodipicolinate + 2 H(2)O].;Probable dihydrodipicolinate synthase DapA (DHDPS) (dihydrodipicolinate synthetase);2684-2685;First Gene
MSMEG_2690;Rv2748c;-;02 B2;ES;GD;ES;ES;ES;ES;ES;-7.593503172;MSMEG_2690_3;DNA segregation ATPase FtsK/SpoIIIE and related proteins [Cell cycle control, cell division, chromosome partitioning]; Region: FtsK; COG1674;;Only Gene;;ftsK;Possibly involved in cell division processes;Possible cell division transmembrane protein FtsK;2690;Only Gene
MSMEG_2758;Rv2703;-;01 G6;ES;ES;ES;ES;ES;ES;ES;-8.396776011;MSMEG_2758_2;RNA polymerase sigma factor; Provisional; Region: PRK05901;;Only Gene;;sigA;The sigma factor is an initiation factor that promotes attachment of the RNA polymerase to specific initiation sites and then is released. This is the primary sigma-factor of this bacteria. Supposedly involved in the housekeeping regulons.;RNA polymerase sigma factor SigA (sigma-A);2758;Only Gene
